date,0,OT
2016/7/1 2:00,14,2162
2016/7/1 3:00,18,2835
2016/7/1 4:00,21,2764
2016/7/1 5:00,20,2735
2016/7/1 6:00,22,2721
2016/7/1 7:00,20,2742
2016/7/1 8:00,20,2716
2016/7/1 9:00,20,2716
2016/7/1 10:00,13,2680
2016/7/1 11:00,11,2581
2016/7/1 12:00,64,2600
2016/7/1 13:00,53,2637
2016/7/1 14:00,26,2665
2016/7/1 15:00,10,2737
2016/7/1 16:00,28,2812
2016/7/1 17:00,61,2807
2016/7/1 18:00,12,2823
2016/7/1 19:00,33,2854
2016/7/1 20:00,74,2946
2016/7/1 21:00,22,3003
2016/7/1 22:00,19,2964
2016/7/1 23:00,74,2921
2016/7/2 0:00,60,2887
2016/7/2 1:00,46,2820
2016/7/2 2:00,16,2785
2016/7/2 3:00,16,2818
2016/7/2 4:00,19,2820
2016/7/2 5:00,16,2834
2016/7/2 6:00,18,2852
2016/7/2 7:00,16,2798
2016/7/2 8:00,15,2746
2016/7/2 9:00,14,3003
2016/7/2 10:00,43,3061
2016/7/2 11:00,70,3350
2016/7/2 12:00,67,3469
2016/7/2 13:00,68,3505
2016/7/2 14:00,95,3586
2016/7/2 15:00,66,3506
2016/7/2 16:00,88,3421
2016/7/2 17:00,67,3380
2016/7/2 18:00,92,3410
2016/7/2 19:00,51,3486
2016/7/2 20:00,49,3472
2016/7/2 21:00,16,3308
2016/7/2 22:00,28,3203
2016/7/2 23:00,62,3301
2016/7/3 0:00,18,3537
2016/7/3 1:00,57,3703
2016/7/3 2:00,18,3502
2016/7/3 3:00,18,3376
2016/7/3 4:00,17,3177
2016/7/3 5:00,16,2996
2016/7/3 6:00,15,2928
2016/7/3 7:00,15,2941
2016/7/3 8:00,14,2965
2016/7/3 9:00,14,3041
2016/7/3 10:00,67,3073
2016/7/3 11:00,68,3311
2016/7/3 12:00,66,3450
2016/7/3 13:00,69,3431
2016/7/3 14:00,71,3470
2016/7/3 15:00,56,3498
2016/7/3 16:00,33,3460
2016/7/3 17:00,70,3481
