date,0,OT
1990/1/1 0:00,0.7855,0.593
1990/1/2 0:00,0.7818,0.594
1990/1/3 0:00,0.7867,0.5973
1990/1/4 0:00,0.786,0.597
1990/1/5 0:00,0.7849,0.5985
1990/1/6 0:00,0.7866,0.604
1990/1/7 0:00,0.7886,0.607
1990/1/8 0:00,0.791,0.6084
1990/1/9 0:00,0.7939,0.6115
1990/1/10 0:00,0.7894,0.609
1990/1/11 0:00,0.7917,0.612
1990/1/12 0:00,0.7941,0.614
1990/1/13 0:00,0.7935,0.6106
1990/1/14 0:00,0.7954,0.6118
1990/1/15 0:00,0.7751,0.6052
1990/1/16 0:00,0.7622,0.5915
1990/1/17 0:00,0.7583,0.5945
1990/1/18 0:00,0.7605,0.5928
1990/1/19 0:00,0.7635,0.595
1990/1/20 0:00,0.766,0.597
1990/1/21 0:00,0.7685,0.602
1990/1/22 0:00,0.7702,0.5983
1990/1/23 0:00,0.7735,0.6003
1990/1/24 0:00,0.7655,0.5998
1990/1/25 0:00,0.7665,0.601
1990/1/26 0:00,0.7575,0.5936
1990/1/27 0:00,0.7545,0.5915
1990/1/28 0:00,0.7493,0.593
1990/1/29 0:00,0.7521,0.5926
1990/1/30 0:00,0.7521,0.5925
1990/1/31 0:00,0.7457,0.5815
1990/2/1 0:00,0.75,0.585
1990/2/2 0:00,0.7567,0.5883
1990/2/3 0:00,0.7595,0.5898
1990/2/4 0:00,0.7586,0.5887
1990/2/5 0:00,0.7646,0.5897
1990/2/6 0:00,0.7652,0.5902
1990/2/7 0:00,0.765,0.5882
1990/2/8 0:00,0.7605,0.5877
1990/2/9 0:00,0.7601,0.588
1990/2/10 0:00,0.7635,0.5872
1990/2/11 0:00,0.7596,0.5884
1990/2/12 0:00,0.7585,0.5878
1990/2/13 0:00,0.7611,0.5891
1990/2/14 0:00,0.7596,0.5889
1990/2/15 0:00,0.7607,0.5879
1990/2/16 0:00,0.7607,0.5907
1990/2/17 0:00,0.758,0.5892
1990/2/18 0:00,0.761,0.5863
1990/2/19 0:00,0.7635,0.5874
1990/2/20 0:00,0.7563,0.5898
1990/2/21 0:00,0.7536,0.588
1990/2/22 0:00,0.7549,0.5855
1990/2/23 0:00,0.7565,0.5832
1990/2/24 0:00,0.752,0.5793
1990/2/25 0:00,0.7504,0.581
1990/2/26 0:00,0.7474,0.5785
1990/2/27 0:00,0.7469,0.5805
1990/2/28 0:00,0.7452,0.5808
1990/3/1 0:00,0.7471,0.5767
1990/3/2 0:00,0.7523,0.5783
1990/3/3 0:00,0.7548,0.579
1990/3/4 0:00,0.7561,0.5778
1990/3/5 0:00,0.7605,0.577
1990/3/6 0:00,0.7669,0.579
1990/3/7 0:00,0.765,0.5782
1990/3/8 0:00,0.765,0.578
1990/3/9 0:00,0.763,0.5784
1990/3/10 0:00,0.7643,0.5783
1990/3/11 0:00,0.7663,0.5792
1990/3/12 0:00,0.7663,0.5796
1990/3/13 0:00,0.765,0.5795
1990/3/14 0:00,0.7654,0.5796
1990/3/15 0:00,0.7653,0.5777
1990/3/16 0:00,0.77,0.5788
1990/3/17 0:00,0.7732,0.5815
1990/3/18 0:00,0.7705,0.5827
1990/3/19 0:00,0.7655,0.5828
1990/3/20 0:00,0.7663,0.5818
1990/3/21 0:00,0.766,0.5817
1990/3/22 0:00,0.756,0.5755
1990/3/23 0:00,0.7503,0.5735
1990/3/24 0:00,0.75,0.5748
1990/3/25 0:00,0.7457,0.5685
1990/3/26 0:00,0.752,0.5708
1990/3/27 0:00,0.7552,0.5727
1990/3/28 0:00,0.7546,0.5726
1990/3/29 0:00,0.7565,0.5726
1990/3/30 0:00,0.7577,0.5747
1990/3/31 0:00,0.7585,0.5721
1990/4/1 0:00,0.7587,0.5739
1990/4/2 0:00,0.76,0.57
1990/4/3 0:00,0.7669,0.5708
1990/4/4 0:00,0.7645,0.5725
1990/4/5 0:00,0.7625,0.5728
1990/4/6 0:00,0.7617,0.5735
1990/4/7 0:00,0.7605,0.5725
1990/4/8 0:00,0.764,0.5735
1990/4/9 0:00,0.764,0.5735
1990/4/10 0:00,0.7653,0.5737
1990/4/11 0:00,0.7623,0.5739
1990/4/12 0:00,0.7668,0.5733
1990/4/13 0:00,0.766,0.5741
1990/4/14 0:00,0.772,0.5757
1990/4/15 0:00,0.7678,0.5768
1990/4/16 0:00,0.7693,0.5752
1990/4/17 0:00,0.7676,0.5768
1990/4/18 0:00,0.771,0.5776
1990/4/19 0:00,0.7718,0.5819
1990/4/20 0:00,0.7775,0.5828
1990/4/21 0:00,0.7725,0.5812
1990/4/22 0:00,0.7751,0.5785
1990/4/23 0:00,0.774,0.5783
1990/4/24 0:00,0.7743,0.5806
1990/4/25 0:00,0.775,0.5823
1990/4/26 0:00,0.7756,0.5816
1990/4/27 0:00,0.7792,0.5823
1990/4/28 0:00,0.784,0.583
1990/4/29 0:00,0.7833,0.5825
1990/4/30 0:00,0.7901,0.5875
1990/5/1 0:00,0.7852,0.586
1990/5/2 0:00,0.7851,0.5852
1990/5/3 0:00,0.7846,0.5873
1990/5/4 0:00,0.7875,0.5872
1990/5/5 0:00,0.7853,0.5872
1990/5/6 0:00,0.7916,0.5883
1990/5/7 0:00,0.7964,0.5903
1990/5/8 0:00,0.7974,0.5902
1990/5/9 0:00,0.799,0.59
1990/5/10 0:00,0.7974,0.5903
1990/5/11 0:00,0.8025,0.5912
1990/5/12 0:00,0.8066,0.5933
1990/5/13 0:00,0.7965,0.5938
1990/5/14 0:00,0.7913,0.5881
