date,Tlog (degC),OT
2020/1/1 0:10,11.45,428.1
2020/1/1 0:20,11.51,428
2020/1/1 0:30,11.6,427.6
2020/1/1 0:40,11.7,430
2020/1/1 0:50,11.81,432.2
2020/1/1 1:00,11.91,430.5
2020/1/1 1:10,12,431.3
2020/1/1 1:20,12.07,433.9
2020/1/1 1:30,12.12,430.9
2020/1/1 1:40,12.14,431.1
2020/1/1 1:50,12.14,434.6
2020/1/1 2:00,12.13,435.6
2020/1/1 2:10,12.09,433.4
2020/1/1 2:20,12.06,433.7
2020/1/1 2:30,12.01,433.2
2020/1/1 2:40,11.93,433.9
2020/1/1 2:50,11.83,434.3
2020/1/1 3:00,11.74,434.3
2020/1/1 3:10,11.67,433.9
2020/1/1 3:20,11.61,428.9
2020/1/1 3:30,11.54,429.6
2020/1/1 3:40,11.45,430.1
2020/1/1 3:50,11.34,432.6
2020/1/1 4:00,11.21,430.4
2020/1/1 4:10,11.08,430.7
2020/1/1 4:20,10.94,430.7
2020/1/1 4:30,10.8,434.6
2020/1/1 4:40,10.66,433.3
2020/1/1 4:50,10.52,437.6
2020/1/1 5:00,10.38,435
2020/1/1 5:10,10.25,433.4
2020/1/1 5:20,10.12,433.5
2020/1/1 5:30,9.99,439.9
2020/1/1 5:40,9.86,440.9
2020/1/1 5:50,9.75,438.9
2020/1/1 6:00,9.65,438.9
2020/1/1 6:10,9.56,434.1
2020/1/1 6:20,9.48,441.1
2020/1/1 6:30,9.4,440.4
2020/1/1 6:40,9.33,438.9
2020/1/1 6:50,9.25,435.5
2020/1/1 7:00,9.17,433.3
2020/1/1 7:10,9.1,433.1
2020/1/1 7:20,9.05,435.2
2020/1/1 7:30,9.01,437.6
2020/1/1 7:40,8.99,439
2020/1/1 7:50,8.96,438.5
2020/1/1 8:00,8.94,436.4
2020/1/1 8:10,8.91,436.3
2020/1/1 8:20,8.89,440.8
2020/1/1 8:30,8.87,435.6
2020/1/1 8:40,8.84,433.7
2020/1/1 8:50,8.81,433.1
2020/1/1 9:00,8.81,435.2
2020/1/1 9:10,8.81,439.4
2020/1/1 9:20,8.85,441
2020/1/1 9:30,8.92,442.4
2020/1/1 9:40,9.05,441.8
2020/1/1 9:50,9.21,441.6
2020/1/1 10:00,9.39,442.5
2020/1/1 10:10,9.6,442
2020/1/1 10:20,9.85,440.9
2020/1/1 10:30,10.16,440.7
2020/1/1 10:40,10.49,441.8
2020/1/1 10:50,10.84,441.9
2020/1/1 11:00,11.18,439.4
2020/1/1 11:10,11.5,440.5
2020/1/1 11:20,11.8,438.8
2020/1/1 11:30,12.07,438.7
2020/1/1 11:40,12.33,438.5
2020/1/1 11:50,12.56,441.1
2020/1/1 12:00,12.78,442.4
2020/1/1 12:10,13.02,441.5
2020/1/1 12:20,13.26,438.3
2020/1/1 12:30,13.52,436.4
2020/1/1 12:40,13.78,434.7
2020/1/1 12:50,14.06,434.9
2020/1/1 13:00,14.36,434.1
2020/1/1 13:10,14.67,434.7
2020/1/1 13:20,15.01,433.2
2020/1/1 13:30,15.36,433
2020/1/1 13:40,15.72,432.4
2020/1/1 13:50,16.08,431.8
2020/1/1 14:00,16.45,431.2
2020/1/1 14:10,16.79,430.7
2020/1/1 14:20,17.11,429.2
2020/1/1 14:30,17.4,428.9
2020/1/1 14:40,17.67,428.6
2020/1/1 14:50,17.92,428.9
2020/1/1 15:00,18.13,429.3
2020/1/1 15:10,18.31,427.9
2020/1/1 15:20,18.44,427.3
2020/1/1 15:30,18.5,426.7
2020/1/1 15:40,18.52,426.2
2020/1/1 15:50,18.48,425.6
2020/1/1 16:00,18.4,425.2
2020/1/1 16:10,18.24,425.4
2020/1/1 16:20,17.98,424.9
2020/1/1 16:30,17.64,424.5
2020/1/1 16:40,17.24,424.7
2020/1/1 16:50,16.81,425
2020/1/1 17:00,16.38,429.9
2020/1/1 17:10,15.96,437.9
2020/1/1 17:20,15.53,428.9
2020/1/1 17:30,15.12,427.3
2020/1/1 17:40,14.71,430.4
2020/1/1 17:50,14.32,430.7
2020/1/1 18:00,13.94,430.2
2020/1/1 18:10,13.6,430.1
2020/1/1 18:20,13.29,430.8
2020/1/1 18:30,13,431.9
2020/1/1 18:40,12.74,433.9
2020/1/1 18:50,12.49,437.3
2020/1/1 19:00,12.24,445.3
2020/1/1 19:10,11.99,439.5
2020/1/1 19:20,11.72,435.8
2020/1/1 19:30,11.46,434.9
2020/1/1 19:40,11.2,432.3
2020/1/1 19:50,10.97,433.4
2020/1/1 20:00,10.77,435.1
2020/1/1 20:10,10.58,437.9
2020/1/1 20:20,10.41,438.7
2020/1/1 20:30,10.27,438.5
2020/1/1 20:40,10.13,439.1
2020/1/1 20:50,10,439.7
2020/1/1 21:00,9.87,441
2020/1/1 21:10,9.74,440.8
2020/1/1 21:20,9.62,441.5
2020/1/1 21:30,9.49,444.5
2020/1/1 21:40,9.35,441.6
2020/1/1 21:50,9.22,439.6
2020/1/1 22:00,9.1,442.8
2020/1/1 22:10,8.98,440.6
2020/1/1 22:20,8.87,441.6
2020/1/1 22:30,8.75,442
2020/1/1 22:40,8.63,441.1
2020/1/1 22:50,8.5,441.2
2020/1/1 23:00,8.37,441.4
2020/1/1 23:10,8.24,439
2020/1/1 23:20,8.12,432.4
2020/1/1 23:30,8.03,432.1
2020/1/1 23:40,7.95,432.2
2020/1/1 23:50,7.89,435.2
2020/1/2 0:00,7.84,438.5
2020/1/2 0:10,7.8,439.1
2020/1/2 0:20,7.74,438.2
2020/1/2 0:30,7.69,436.7
2020/1/2 0:40,7.65,437.1
2020/1/2 0:50,7.6,436
2020/1/2 1:00,7.55,437.1
2020/1/2 1:10,7.5,442.8
2020/1/2 1:20,7.45,444.4
2020/1/2 1:30,7.4,444.6
2020/1/2 1:40,7.35,441.4
2020/1/2 1:50,7.28,443.6
2020/1/2 2:00,7.22,440.6
2020/1/2 2:10,7.17,440.7
2020/1/2 2:20,7.13,440.6
2020/1/2 2:30,7.1,435.7
2020/1/2 2:40,7.08,444.9
2020/1/2 2:50,7.06,447.5
2020/1/2 3:00,7.04,447.2
2020/1/2 3:10,7.01,448
2020/1/2 3:20,7.26,441.4
2020/1/2 3:30,8.2,443.4
2020/1/2 3:40,9.08,448.9
2020/1/2 3:50,9.38,446
2020/1/2 4:00,9.34,443.6
2020/1/2 4:10,9.14,441.5
2020/1/2 4:20,8.88,444.4
2020/1/2 4:30,8.6,452.1
2020/1/2 4:40,8.32,452.8
2020/1/2 4:50,8.06,450.1
2020/1/2 5:00,7.83,440.6
2020/1/2 5:10,7.64,439.1
2020/1/2 5:20,7.47,440.7
2020/1/2 5:30,7.32,446.1
2020/1/2 5:40,7.19,449.2
2020/1/2 5:50,7.27,453.2
2020/1/2 6:00,8.05,451.2
2020/1/2 6:10,9,452.1
2020/1/2 6:20,9.38,452
2020/1/2 6:30,9.32,451.7
2020/1/2 6:40,9.09,452.1
2020/1/2 6:50,8.8,451.8
2020/1/2 7:00,8.5,447.6
2020/1/2 7:10,8.21,446.1
2020/1/2 7:20,7.95,445.6
2020/1/2 7:30,7.71,443.7
2020/1/2 7:40,7.49,446.4
2020/1/2 7:50,7.48,452.5
2020/1/2 8:00,8.19,451
